word,guesses
aback,509
abate,577
abbot,850
abled,264
abase,2216
abort,474
abide,2762
abhor,3022
abuse,2407
acorn,2519
admit,84
adept,2169
abyss,3364
acute,4005
adore,407
again,488
admin,1492
acrid,7328
abode,8411
afire,1206
adobe,1025
affix,4447
afoot,4489
actor,1252
about,9591
abbey,10670
aging,1352
adopt,1578
afoul,2247
agora,4578
adage,1764
alarm,974
aglow,850
adorn,720
above,3199
algae,1911
agape,1792
allot,826
alive,2443
along,452
agree,755
adapt,2393
alpha,1460
agile,7432
adult,439
album,4173
alibi,1193
agate,568
allay,446
after,5664
aloof,355
amiss,1635
agony,1009
amber,2935
amuse,106
alert,488
amble,1580
angle,2368
allow,3877
angel,1835
ahead,4180
aisle,4882
alley,2525
annoy,723
aloud,870
anode,1956
alien,1617
agent,13242
aider,223
apple,1166
arise,457
ascot,213
altar,3687
alloy,1528
alter,63
align,1526
alike,3442
attic,902
amend,3153
amity,1131
avoid,283
annex,7484
aloft,1292
angry,665
alone,1684
aphid,668
anger,1069
aping,5156
amaze,586
among,2906
amass,1623
axial,2188
angst,261
ardor,1129
ample,1013
annul,2331
baggy,1385
basal,20
arrow,1475
arena,2646
anvil,1778
arson,942
amply,3363
apron,987
baton,1551
atoll,346
antic,4677
avert,123
anime,2274
ankle,735
apart,338
apnea,2826
aorta,727
awful,831
aroma,1586
apply,1489
aptly,593
arbor,1012
argue,1456
arose,1378
armor,1946
beech,3595
artsy,1623
array,2261
being,568
badly,3523
ashen,1494
assay,1177
atone,1679
aside,4366
barge,1475
avian,415
awoke,135
aunty,2146
asset,8929
audit,1606
batch,1470
beard,23
avail,266
audio,2806
begin,408
bench,82
askew,5289
awake,1054
awash,1074
axion,327
badge,235
await,1359
berry,5311
baler,743
banjo,1267
biddy,1487
augur,3406
axiom,2430
bible,3670
baste,1388
birth,1771
bagel,7626
award,2660
aware,7256
basil,11408
beady,19
baker,207
bacon,40
blare,180
biome,1175
bland,27
bleep,157
azure,1349
banal,1591
bless,1705
beget,1886
balmy,766
basin,435
bloat,1609
below,1068
bluff,1589
bloke,2885
basis,3756
boney,1048
basic,5314
batty,39
bawdy,5926
bayou,3760
boozy,825
befit,674
bezel,4796
beefy,2183
belch,1052
bingo,1356
bound,3198
berth,529
blame,544
beach,5110
brash,996
breed,168
begat,423
blurb,6917
baron,11769
began,5459
bigot,2768
bonus,1045
brink,1816
belie,6152
bleed,2926
bathe,1393
blitz,405
belly,2560
beast,623
belle,2287
broom,1342
buggy,25
bluer,2748
beset,3613
bevel,3143
binge,198
begun,3356
bobby,1291
beret,345
betel,3713
billy,34
bunny,3736
black,565
bleak,287
booze,1978
blade,2675
borne,7389
boxer,75
bison,8664
brave,1134
boule,1891
bilge,5582
bicep,4520
blast,784
blink,3296
bitty,126
bloom,490
bribe,1506
board,589
brisk,525
buxom,6061
birch,2127
bleat,5692
blimp,3819
cache,2587
brand,5505
break,82
blaze,5093
bring,679
brook,561
blank,4196
canal,2049
bliss,3379
blond,3011
blind,1753
blown,939
cargo,1369
budge,1832
caulk,464
booth,7838
blend,2949
chain,1056
chart,106
botch,1312
chess,702
block,1351
brain,492
blood,3944
blush,28
boast,3637
brawn,445
brown,11166
brief,1125
boost,1905
booty,2063
build,973
burnt,142
bough,725
blurt,7074
chime,3689
brake,321
bylaw,898
bread,354
broke,2640
bunch,7025
blunt,4638
chose,1343
caddy,1203
bossy,2958
braid,344
butte,1366
bongo,1282
canny,1751
cinch,2176
brine,3135
brawl,1715
borax,2002
brute,4576
bulky,36
brood,1986
bride,1874
bowel,1692
buddy,656
brass,349
booby,6936
bushy,1506
bully,658
butch,144
cable,52
camel,375
caput,46
clank,4771
bosom,1584
briar,2352
broil,4065
carry,6925
cabin,4212
cater,3650
cacao,9632
clerk,15592
cairn,23
briny,161
cavil,119
brush,446
chalk,553
caper,1726
chasm,715
bulge,2205
clone,2522
chick,550
catch,878
chirp,173
cameo,2904
chafe,3091
chard,314
cello,1349
chump,1969
carat,1984
clued,2416
bused,3256
broth,5995
chaos,2267
catty,1857
brace,7710
cabby,1977
civic,2995
clasp,438
bugle,2400
cliff,840
cloth,618
check,3768
bravo,4210
brick,414
cheek,9086
broad,922
clung,3721
chili,1907
brunt,1470
chord,1065
comfy,2082
chaff,9129
charm,28
cheer,68
color,11330
burly,8367
built,3726
cagey,10672
chill,2495
chore,472
cider,4202
burst,1298
child,9517
canon,1392
cabal,302
cadet,128
clamp,1167
cigar,1684
buyer,4138
cleat,961
clang,1180
cloak,482
canoe,2385
choke,2836
chute,56
carve,192
caste,3203
cease,651
cleft,1418
